brand,disc_price,discount,original_price,rating,return_policy,review,std_deliver_fee,title
No Brand,৳ 599,-8%,৳ 650,7 Ratings,7 Day Return,6 Answered Questions,৳ 66,Jhumka design Jamdani sari for women - Sari
No Brand,৳ 251,-75%,"৳ 1,000",1 Ratings,7 Day Return,3 Answered Questions,৳ 66,Tangail tat Half silk saree Green colour - Sari - Saree - শাড়ি
No Brand,৳ 580,-42%,"৳ 1,000",7 Ratings,7 Day Return,13 Answered Questions,৳ 66,Unstitched Cotton Skin Print Three Pieces For Women -  Dress For Girls - Dress For Girls - 3 Pice Dress - Three Piece
,,,,,,,,
No Brand,৳ 450,-70%,"৳ 1,500",No Ratings,7 Day Return,,Free,Fashionable Tangail Tat Half Silk Meena Jamdani Saree for Women
No Brand,"৳ 1,282",-22%,"৳ 1,650",No Ratings,7 Day Return,,Free,Net Four Piece(4 Piece) Party Dress for women
No Brand,"৳ 1,790",-55%,"৳ 4,000",7 Ratings,7 Day Return,17 Answered Questions,৳ 66,Dark Ash Color Weightless Georgette Party Wear Embroidered Designer Salwar Kameez Suits For Women
No Brand,৳ 615,-56%,"৳ 1,390",1 Ratings,7 Day Return,,৳ 75,Yellow red combination tangail saree/half silk yellow coloursaree - Sari
No Brand,৳ 360,-52%,৳ 750,7 Ratings,7 Day Return,1 Answered Questions,৳ 75,Traditional Lungi For Men
No Brand,৳ 990,-21%,"৳ 1,250",16 Ratings,7 Day Return,14 Answered Questions,৳ 66,Occasional Dress/Couple Set/Matching Dress/Traditionally Dress/Sari And Panjabi
No Brand,"৳ 1,389",-42%,"৳ 2,400",14 Ratings,7 Day Return,1 Answered Questions,৳ 66,"Avon Fabric Always Special,New Collection Party Dress,Party Wear Suits For Women"
,,,,,,,,
No Brand,৳ 499,-52%,"৳ 1,050",3 Ratings,7 Day Return,1 Answered Questions,৳ 66,ব্লক প্রিন্ট থ্রি-পিস-Block Print Cotton Three Piece [3 Piece] For Women
No Brand,"৳ 1,250",-17%,"৳ 1,500",1 Ratings,7 Day Return,,৳ 66,Sararah Readymade Two Piece Rayon Slub Cotton Shalwar Kameez For Women
No Brand,৳ 999,,,3 Ratings,7 Day Return,2 Answered Questions,৳ 66,MultiColor HalfSilk  Saree for Women - Sari
No Brand,৳ 379,-76%,"৳ 1,580",1 Ratings,7 Day Return,,৳ 66,Japani Soft Silk Saree for Women - Beguni - Sari - Saree - শাড়ি
No Brand,৳ 650,-46%,"৳ 1,200",No Ratings,7 Day Return,,৳ 66,Silk semi katan saree for women - Sharee For Women
No Brand,৳ 499,-50%,৳ 999,2 Ratings,7 Day Return,4 Answered Questions,৳ 66,আনস্টিজ স্কিন প্রিন্টেড কটন থ্রি- পিচ ফর ওমেন / Unstitched screen printed cotton three pcs
No Brand,"৳ 1,880",-41%,"৳ 3,200",17 Ratings,7 Day Return,13 Answered Questions,৳ 66,Bonga online - Semi-stitched Georgette Embroidery Work Free Size Exclusive Designer - Gown Anarkali Party Wear Suits For Women
No Brand,৳ 499,-72%,"৳ 1,800",5 Ratings,7 Day Return,10 Answered Questions,৳ 89,"Pink Colour Unstitched Georgette Excellent Embroidery Work, Fashionable, Stylish and Comfortable, Salwar Kameez  For Women (3 Piece)"
No Brand,৳ 799,-48%,"৳ 1,550",12 Ratings,7 Day Return,1 Answered Questions,৳ 75,White Color Traditional Jamdani Saree for women - Sari - Saree - শাড়ি
No Brand,"৳ 1,050",-16%,"৳ 1,250",1 Ratings,7 Day Return,,৳ 66,Exclusive new Slab Tater Unstitched three pice (3pice) For Women
No Brand,৳ 700,-44%,"৳ 1,250",No Ratings,7 Day Return,,৳ 66,Eid Collection Afsan Print Three Piece For Girls/Women.
No Brand,৳ 650,-24%,৳ 850,No Ratings,7 Day Return,,৳ 75,Orbit cotton Butix three pieces for woman
No Brand,৳ 338,-68%,"৳ 1,050",1 Ratings,7 Day Return,,৳ 66,Women's Japani Silk Saree without Digital Print Blouse (Navy) - Sari - Saree - শাড়ি - Sari - Sari
No Brand,"৳ 1,050",-16%,"৳ 1,250",1 Ratings,7 Day Return,,৳ 66,Exclusive new Slab Tater Unstitched three pice (3pice) For Women
,,,,,,,,
No Brand,৳ 420,-38%,৳ 680,No Ratings,7 Day Return,,Free,New exclusive designed  1piece Kurti
No Brand,৳ 278,-86%,"৳ 2,000",2 Ratings,7 Day Return,3 Answered Questions,৳ 66,Moslin Than Sarees For Women - Sari - Saree - শাড়ি
No Brand,৳ 525,-34%,৳ 800,1 Ratings,7 Day Return,,,New Block Print Cotton Three Piece For Women NB-077
No Brand,৳ 530,-52%,"৳ 1,100",2 Ratings,7 Day Return,3 Answered Questions,৳ 66,"Light Golapi Color Joypuri Cotton Unstitched Exclusive, Fashionable, Stylish and Comfortable, High Quality Printed Three Piece for Women - 3 Pice Dress - 3 Pice Dress"
No Brand,৳ 540,-46%,৳ 999,No Ratings,7 Day Return,,৳ 66,Exclusive Cotton Unstitched Skin Print High Quality Three Piece For Women
,,,,,,,,
No Brand,৳ 655,-45%,"৳ 1,200",11 Ratings,7 Day Return,1 Answered Questions,৳ 66,Straight Stitch Embroidery work Unstitched Weightless Georgette Shalwar Kamiz Four Piece (4 Piece) - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 850,-41%,"৳ 1,450",No Ratings,7 Day Return,1 Answered Questions,৳ 66,Stylish & Fashionable Alpona Grown For Girls/Women.
No Brand,৳ 650,-52%,"৳ 1,350",2 Ratings,7 Day Return,,৳ 75,treditonal jamdani saree for women's without blouse pice in multi-colour - Sari - Saree - শাড়ি
No Brand,৳ 467,-65%,"৳ 1,350",15 Ratings,7 Day Return,25 Answered Questions,৳ 66,New exclusive designed Kaptan Screen Print Gown 1piece long kurti For Stylish Women / Girls - Kurti For Girls - Kurti For Girls
No Brand,৳ 695,-50%,"৳ 1,400",2 Ratings,7 Day Return,4 Answered Questions,৳ 66,High Quality Fashionable Cutwork Cotton Sarees For Women
No Brand,৳ 379,-76%,"৳ 1,599",5 Ratings,7 Day Return,2 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women - Deep Golden - Sari - Saree - শাড়ি
No Brand,৳ 599,-60%,"৳ 1,500",1 Ratings,7 Day Return,2 Answered Questions,৳ 66,Gorgeous Unstitched Cotton Screen Printed Shalwar Kameez [ 3 Piece ] - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 590,-53%,"৳ 1,250",No Ratings,7 Day Return,,৳ 66,Occasional Saree/Traditional Saree/Half Silk Screen print Saree For Women
No Brand,৳ 699,-58%,"৳ 1,650",6 Ratings,7 Day Return,6 Answered Questions,৳ 66,New Fashionable Stylish Designers High Quality Rewon Cotton Three pice For Women ( 3 Piece ) - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 410,-59%,"৳ 1,000",5 Ratings,7 Day Return,13 Answered Questions,৳ 66,"New exclusive designed Gown 1piece long kurti, Gown long kurti For Stylish Women / Girls - Kurti For Girls"
No Brand,"৳ 1,120",-25%,"৳ 1,500",No Ratings,7 Day Return,,৳ 66,Uncommon Eid Collection Indian Mumbai Rongdhonu Aari Three Pieces Multicolor for Smart Women/Girls.
,,,,,,,,
No Brand,৳ 330,-72%,"৳ 1,200",51 Ratings,7 Day Return,54 Answered Questions,৳ 66,Moslin Than Saree for womens (pink color) - Sari - Sari
No Brand,৳ 705,-61%,"৳ 1,799",1 Ratings,7 Day Return,1 Answered Questions,৳ 75,treditonal katan saree for women without blouse pice - Sari - Sari
